Iteration,Timestamp,Path,ShareRelativePath,ClientComputerName,ClientUserName,ContinuouslyAvailable,Locks
1,2023-07-03 11:08:33,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
2,2023-07-03 11:08:34,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
3,2023-07-03 11:08:35,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
4,2023-07-03 11:08:36,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
5,2023-07-03 11:08:37,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
6,2023-07-03 11:08:38,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
7,2023-07-03 11:08:39,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
8,2023-07-03 11:08:40,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
9,2023-07-03 11:08:42,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
10,2023-07-03 11:08:43,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
11,2023-07-03 11:08:44,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
12,2023-07-03 11:08:45,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
13,2023-07-03 11:08:46,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
14,2023-07-03 11:08:47,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
15,2023-07-03 11:08:48,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
16,2023-07-03 11:08:49,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
17,2023-07-03 11:08:50,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
18,2023-07-03 11:08:51,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
19,2023-07-03 11:08:52,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
20,2023-07-03 11:08:53,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
21,2023-07-03 11:08:54,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
22,2023-07-03 11:08:55,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
23,2023-07-03 11:08:56,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
24,2023-07-03 11:08:57,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
25,2023-07-03 11:08:58,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
