"Iteration","Timestamp","Path","ShareRelativePath","ClientComputerName","ClientUserName","ContinuouslyAvailable","Locks"
"1","3/7/2023 11:44:31 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"2","3/7/2023 11:44:32 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"3","3/7/2023 11:44:33 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"4","3/7/2023 11:44:34 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"5","3/7/2023 11:44:35 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"6","3/7/2023 11:44:36 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"7","3/7/2023 11:44:37 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"8","3/7/2023 11:44:38 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"9","3/7/2023 11:44:39 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"10","3/7/2023 11:44:40 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"11","3/7/2023 11:44:41 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"12","3/7/2023 11:44:42 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"12","3/7/2023 11:44:42 AM","D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","10.12.9.196","WW\s.at.aucerna_ips","False","0"
"13","3/7/2023 11:44:43 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"13","3/7/2023 11:44:43 AM","D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","10.12.9.196","WW\s.at.aucerna_ips","False","0"
"14","3/7/2023 11:44:44 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"14","3/7/2023 11:44:44 AM","D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","10.12.9.196","WW\s.at.aucerna_ips","False","0"
"15","3/7/2023 11:44:45 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"15","3/7/2023 11:44:45 AM","D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","10.12.9.196","WW\s.at.aucerna_ips","False","0"
"16","3/7/2023 11:44:46 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"16","3/7/2023 11:44:46 AM","D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","10.12.9.196","WW\s.at.aucerna_ips","False","0"
"17","3/7/2023 11:44:47 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"17","3/7/2023 11:44:47 AM","D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","10.12.9.196","WW\s.at.aucerna_ips","False","0"
"18","3/7/2023 11:44:48 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"18","3/7/2023 11:44:48 AM","D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","10.12.9.196","WW\s.at.aucerna_ips","False","0"
"19","3/7/2023 11:44:49 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"19","3/7/2023 11:44:49 AM","D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","10.12.9.196","WW\s.at.aucerna_ips","False","0"
"20","3/7/2023 11:44:50 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"20","3/7/2023 11:44:50 AM","D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","10.12.9.196","WW\s.at.aucerna_ips","False","0"
"20","3/7/2023 11:44:50 AM","D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetVariables\12999","P2V_UPDATE\PlanningSpace Economics\ResultSetVariables\12999","10.12.9.196","WW\s.at.aucerna_ips","False","0"
"21","3/7/2023 11:44:51 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"21","3/7/2023 11:44:51 AM","D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","10.12.9.196","WW\s.at.aucerna_ips","False","0"
"21","3/7/2023 11:44:51 AM","D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetVariables\12999","P2V_UPDATE\PlanningSpace Economics\ResultSetVariables\12999","10.12.9.196","WW\s.at.aucerna_ips","False","0"
"22","3/7/2023 11:44:52 AM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
