From date 10/8/2019 To date 10/18/2019
Timestamp, Entity Name, User Name, Action, Comment, Application, Entity Type
"10/17/2019 11:32:21","demo99","useradmin","Entity Updated","User updated. ","PlanningSpace","User"
"10/17/2019 11:31:04","gael04","gael04","User Login","The user <gael04> has logged in.","PlanningSpace Dataflow","User"
"10/17/2019 11:30:58","gael04","gael04","User Login","The user [gael04] has logged in.","PlanningSpace","User"
"10/17/2019 11:24:45","useradmin","useradmin","User Login","The user <useradmin> has logged in.","PlanningSpace Dataflow","User"
"10/17/2019 11:24:39","useradmin","useradmin","User Login","The user [useradmin] has logged in.","PlanningSpace","User"
"10/17/2019 11:24:39","useradmin","","Entity Updated","User password expired. ","PlanningSpace","User"
"10/17/2019 10:51:32","ww\X01001805","ww\CARINA21","Entity Updated","User updated. ","PlanningSpace","User"
"10/17/2019 10:48:59","ww\X01001805","ww\CARINA21","Entity Updated","User updated. ","PlanningSpace","User"
"10/17/2019 10:20:00","ww\CHRISTIAN130","ww\CHRISTIAN130","User Logout","The user <ww\CHRISTIAN130> has logged out.","PlanningSpace Dataflow","User"
"10/17/2019 10:14:37","ww\CHRISTIAN130","ww\CHRISTIAN130","User Login","The user <ww\CHRISTIAN130> has logged in.","PlanningSpace Dataflow","User"
"10/17/2019 10:14:31","ww\CHRISTIAN130","ww\CHRISTIAN130","User Login","The user [ww\CHRISTIAN130] has logged in.","PlanningSpace","User"
"10/17/2019 09:40:37","ww\X01schgeo","ww\X01schgeo","User Login","The user <ww\X01schgeo> has logged in.","PlanningSpace Dataflow","User"
"10/17/2019 09:40:29","ww\X01schgeo","ww\X01schgeo","User Login","The user [ww\X01schgeo] has logged in.","PlanningSpace","User"
"10/17/2019 09:17:18","ww\X450313","ww\X450313","User Login","The user <ww\X450313> has logged in.","PlanningSpace Dataflow","User"
"10/17/2019 09:17:11","ww\X450313","ww\X450313","User Login","The user [ww\X450313] has logged in.","PlanningSpace","User"
"10/17/2019 09:16:41","ARMANDO1","ARMANDO1","User Login","The user <ARMANDO1> has logged in.","PlanningSpace Dataflow","User"
"10/17/2019 09:16:39","ww\CARINA21","ww\CARINA21","User Login","The user <ww\CARINA21> has logged in.","PlanningSpace Dataflow","User"
"10/17/2019 09:16:33","ww\CARINA21","ww\CARINA21","User Login","The user [ww\CARINA21] has logged in.","PlanningSpace","User"
"10/17/2019 09:16:32","ARMANDO1","ARMANDO1","User Login","The user [ARMANDO1] has logged in.","PlanningSpace","User"
"10/17/2019 09:16:32","ARMANDO1","","Entity Updated","User password expired. ","PlanningSpace","User"
"10/17/2019 09:16:06","ww\SANDRA18","ww\SANDRA18","User Login","The user <ww\SANDRA18> has logged in.","PlanningSpace Dataflow","User"
"10/17/2019 09:15:58","ww\SANDRA18","ww\SANDRA18","User Login","The user [ww\SANDRA18] has logged in.","PlanningSpace","User"
"10/17/2019 09:14:43","ww\SIMON30","ww\SIMON30","User Login","The user <ww\SIMON30> has logged in.","PlanningSpace Dataflow","User"
"10/17/2019 09:14:37","ww\SIMON30","ww\SIMON30","User Login","The user [ww\SIMON30] has logged in.","PlanningSpace","User"
"10/17/2019 09:14:29","Simon30","Simon30","User Login","Login for user <Simon30> was unsuccessful. Reason: Invalid User Name and Password. ","PlanningSpace","User"
"10/17/2019 09:14:24","Simon30","Simon30","User Login","Login for user <Simon30> was unsuccessful. Reason: Invalid User Name and Password. ","PlanningSpace","User"
"10/17/2019 09:11:56","ww\SUSAN2","ww\SUSAN2","User Login","The user <ww\SUSAN2> has logged in.","PlanningSpace Dataflow","User"
"10/17/2019 09:11:48","ww\SUSAN2","ww\SUSAN2","User Login","The user [ww\SUSAN2] has logged in.","PlanningSpace","User"
"10/17/2019 09:10:03","ww\X451062","ww\X451062","User Login","The user <ww\X451062> has logged in.","PlanningSpace Dataflow","User"
"10/17/2019 09:09:57","ww\X451062","ww\X451062","User Login","The user [ww\X451062] has logged in.","PlanningSpace","User"
"10/17/2019 09:09:19","ww\LEONARDO1","ww\LEONARDO1","User Login","The user <ww\LEONARDO1> has logged in.","PlanningSpace Dataflow","User"
"10/17/2019 09:09:12","ww\LEONARDO1","ww\LEONARDO1","User Login","The user [ww\LEONARDO1] has logged in.","PlanningSpace","User"
"10/17/2019 09:08:51","ww\NINA35","ww\NINA35","User Login","The user <ww\NINA35> has logged in.","PlanningSpace Dataflow","User"
"10/17/2019 09:08:43","ww\NINA35","ww\NINA35","User Login","The user [ww\NINA35] has logged in.","PlanningSpace","User"
"10/17/2019 09:08:31","Leonardo1","Leonardo1","User Login","Login for user <Leonardo1> was unsuccessful. Reason: Invalid User Name and Password. ","PlanningSpace","User"
"10/17/2019 08:20:00","ww\CHRISTIAN130","ww\CHRISTIAN130","User Logout","The user <ww\CHRISTIAN130> has logged out.","PlanningSpace Dataflow","User"
"10/17/2019 08:16:50","ww\CHRISTIAN130","ww\CHRISTIAN130","User Login","The user <ww\CHRISTIAN130> has logged in.","PlanningSpace Dataflow","User"
"10/17/2019 08:16:43","ww\CHRISTIAN130","ww\CHRISTIAN130","User Login","The user [ww\CHRISTIAN130] has logged in.","PlanningSpace","User"
"10/17/2019 07:59:08","ww\CHRISTIAN130","ww\CHRISTIAN130","User Login","The user <ww\CHRISTIAN130> has logged in.","PlanningSpace Dataflow","User"
"10/17/2019 07:58:50","ww\CHRISTIAN130","ww\CHRISTIAN130","User Login","The user [ww\CHRISTIAN130] has logged in.","PlanningSpace","User"
"10/17/2019 07:58:41","ww\Christian","ww\Christian","User Login","Login for user <ww\Christian> was unsuccessful. Reason: Invalid User Name and Password. ","PlanningSpace","User"
"10/17/2019 06:08:00","ww\NINA35","ww\NINA35","User Logout","The user <ww\NINA35> has logged out.","PlanningSpace Dataflow","User"
"10/17/2019 06:08:00","ww\SANDRA18","ww\SANDRA18","User Logout","The user <ww\SANDRA18> has logged out.","PlanningSpace Dataflow","User"
"10/17/2019 06:08:00","ww\X450246","ww\X450246","User Logout","The user <ww\X450246> has logged out.","PlanningSpace Dataflow","User"
"10/17/2019 06:08:00","ww\X01schgeo","ww\X01schgeo","User Logout","The user <ww\X01schgeo> has logged out.","PlanningSpace Dataflow","User"
"10/16/2019 22:02:00","Administrator","Administrator","User Logout","The user <Administrator> has logged out.","PlanningSpace Dataflow","User"
"10/16/2019 18:47:58","MTP2020","Administrator","Entity Associated","Tag applied to revision <Rev 39>, in document <Area 1 Nord Drilling Budget 2019>, in version <zzzMTP2019>.","PlanningSpace Dataflow","Revision Tag"
"10/16/2019 18:47:58","MTP2019","Administrator","Entity Associated","Tag applied to revision <Rev 39>, in document <Area 1 Nord Drilling Budget 2019>, in version <zzzMTP2019>.","PlanningSpace Dataflow","Revision Tag"
"10/16/2019 18:47:58","MTP2019","Administrator","Entity Dissociated","Tag removed from revision <Rev 37>, in document <Area 1 Nord Drilling Budget 2019>, in version <zzzMTP2019>.","PlanningSpace Dataflow","Revision Tag"
