id,name,description,comments,isEveryoneWorkgroup,isAdministratorWorkgroup,users,allowedRoles,deniedRoles
1,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.,False,True,,,
39,Auditor,users can check auditlogs,permission to read and check audit-logs,False,False,,,
94,data.ArabEmirates,Data access to country ArabEmirates,[DATA] PRMS read-update,False,False,,,
110,data.ArabEmirates.key,Data access to country ArabEmirates (full access),[DATA] PRMS full access,False,False,,,
109,data.Australia,Data access to country Australia,[DATA] PRMS read-update,False,False,,,
115,data.Australia.key,Data access to country Australia (full access),[DATA] PRMS full access,False,False,,,
9,data.Austria,Data access to country Austria,[DATA] PRMS read-update,False,False,,,
101,data.Austria.Economics,Data access to country Austria (Eco),,False,False,,,
112,data.Austria.Finance,Data access to country Austria (Fin),,False,False,,,
45,data.Austria.Key,Data access to country Austria (full access),[DATA] PRMS full access,False,False,,,
33,data.BD.project,Business Development project ,Business Development power user HO,False,False,,,
120,data.Bulgaria,Data access to country Bulgaria,[DATA] PRMS read-update,False,False,,,
104,data.Bulgaria.key,Data access to country Bulgaria (full access),[DATA] PRMS full access,False,False,,,
8,data.Corporate,Data access to ALL countries,[DATA] PRMS read-update,False,False,,,
114,data.Corporate.Economics,Data access to ALL countries (Eco),,False,False,,,
125,data.Corporate.Finance,Data access to ALL countries (Fin),,False,False,,,
88,data.Corporate.key,Data access to ALL countries (full access),[DATA] PRMS full access,False,False,,,
111,data.Georgia,Data access to country Georgia,[DATA] PRMS read-update,False,False,,,
105,data.Kurdistan,Data access to country Kurdistan,[DATA] PRMS read-update,False,False,,,
103,data.Kurdistan.key,Data access to country Kurdistan (full access),[DATA] PRMS full access,False,False,,,
63,data.Libya,Data access to country Libya,[DATA] PRMS read-update,False,False,,,
99,data.Libya.Economics,Data access to country Libya (Eco),,False,False,,,
124,data.Libya.Finance,Data access to country Libya (Fin),,False,False,,,
64,data.Libya.key,Data access to country Libya (full access),[DATA] PRMS full access,False,False,,,
97,data.Malaysia,Data access to country Malaysia,[DATA] PRMS read-update,False,False,,,
118,data.Malaysia.key,Data access to country Malaysia (full access),[DATA] PRMS full access,False,False,,,
106,data.Mexico,Data access to country Mexico,[DATA] PRMS read-update,False,False,,,
122,data.Mexico.key,Data access to country Mexico (full access),[DATA] PRMS full access,False,False,,,
95,data.NewZealand,Data access to country NewZealand,[DATA] PRMS read-update,False,False,,,
116,data.NewZealand.key,Data access to country NewZealand (full access),[DATA] PRMS full access,False,False,,,
10,data.Norway,Data access to country Norway,[DATA] PRMS read-update,False,False,,,
123,data.Norway.Economics,Data access to country Norway (Eco),,False,False,,,
113,data.Norway.Finance,Data access to country Norway (Fin),,False,False,,,
46,data.Norway.Key,Data access to country Norway (full access),[DATA] PRMS full access,False,False,,,
96,data.Romania,Data access to country Romania,[DATA] PRMS read-update,False,False,,,
107,data.Romania.key,Data access to country Romania (full access),[DATA] PRMS full access,False,False,,,
11,data.Russia,Data access to country Russia,[DATA] PRMS read-update,False,False,,,
119,data.Russia.Economics,Data access to country Russia (Eco),,False,False,,,
121,data.Russia.Finance,Data access to country Russia (Fin),,False,False,,,
47,data.Russia.Key,Data access to country Russia (full access),[DATA] PRMS full access,False,False,,,
61,data.Tunisia,Data access to country Tunisia,,False,False,,,
108,data.Tunisia.Economics,Data access to country Tunisia (Eco),,False,False,,,
102,data.Tunisia.Finance,Data access to country Tunisia (Fin),,False,False,,,
62,data.Tunisia.Key,Data access to country Tunisia (full access),[DATA] PRMS full access,False,False,,,
98,data.Yemen,Data access to country Yemen,[DATA] PRMS read-update,False,False,,,
117,data.Yemen.key,Data access to country Yemen (full access),[DATA] PRMS full access,False,False,,,
21,DataFlow.key,Dataflow Key user ,Dataflow Key user in Branchoffice,False,False,,,
22,DataFlow.power,Dataflow Power user,Dataflow Power user in Headoffice,False,False,,,
40,Developer,internal & external developers,permissions needed for developers,False,False,,,
24,Economics.key,Economics key user ,Economics user in Branchoffice,False,False,,,
23,Economics.power,Economics power user,Economics power user in headoffice - global settings,False,False,,,
42,Economics.regimes,additional permission for Economics user to access Regime Library,,False,False,,,
89,Economics.unlock,additional permission for Economics user to unlock entities ,,False,False,,,
2,Everyone,Default workgroup.,This group consists only public permission on the engine.,True,False,,,
30,Financials.key,Financials key user,Controlling key user in Branchoffice,False,False,,,
29,Financials.power,Financials power user HO,Controlling power user  in Headoffice,False,False,,,
43,Financials.regimes,additional permission for Financials user to access Regime Library,,False,False,,,
44,Input.Approve,Input.Approve,,False,False,,,
48,Input.Confirm,Input.Confirm,,False,False,,,
