id,displayName,groupType,membershipType,source,mail,securityEnabled,mailEnabled,isAssignableToRole,onPremisesSyncEnabled
04f30792-b1d6-4b7b-adc4-5cb2571ae4a0,papp.EPSynapse.test.IT_Admin,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
0f520339-0d55-4342-bf79-0feeb859e38a,papp.EPSynapse.prod.Reserves_Users,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
13b4a5d8-c374-46fc-b77c-8aebc4463081,papp.EPSynapse.test.AA_allKPIs,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
15e4ea6d-8aab-4625-a910-32231a5cfdd1,papp.EPSynapse.prod.NOR_allKPIs,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
17b17f5a-164a-4da5-9647-8bbfcd956548,papp.EPSynapse.prod.AUT_Controllers_Unapproved_allKPIs,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
1b30f552-c74d-4bbf-bf92-d62ebd3ef493,papp.EPSynapse.quality.AA_allKPIs,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
1cc45d96-1ccc-4c91-8393-47019295c5f2,papp.EPSynapse.prod.AG_User,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
2479eef0-8b41-4be0-a429-e993ad1ff4af,papp.EPSynapse.quality.AUT_allKPIs,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
352e16bf-bc6b-4df8-9087-7e8b58110494,papp.EPSynapse.quality.epprojects,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
3a8b8464-a6cb-4993-a28c-97c7d00dd886,papp.EPSynapse.prod.Feature.Export,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
3d5b4d37-92a4-4a5f-8d62-e5cc7e99eb64,papp.EPSynapse.prod.AA_allKPIs,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
3e93a670-3059-4677-b34f-602b1845ef11,papp.EPSynapse.quality.Feature.Export,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
40b37452-0e75-4f09-bc26-cea20d2bf733,papp.EPSynapse.test.GE_Controller,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
4b46adaf-388b-4a3c-9135-b0579f080f80,papp.EPSynapse.prod.AUT_approvers_allKPIs,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
5089e9b7-f680-405c-8436-68126d4f0b3e,papp.EPSynapse.test.AUT_approvers_allKPIs,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
518834ab-53d5-4161-ac3b-505c0a8c0bba,papp.EPSynapse.test.Reserves_Users,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
570ebc4c-1c9c-4ccb-a0e2-b9349b88bf98,papp.EPSynapse.quality.EPManagementUser,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
5b75595b-81d9-408f-a87b-c1e249dd3532,papp.EPSynapse.test.AUT_allKPIs,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
624eaef9-5b24-4336-bf9d-05e21a0bd04e,papp.EPSynapse.prod.AUT_allKPIs,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
6409b7be-615c-4201-a0cc-5440a4bd20aa,papp.EPSynapse.quality.AUT_approvers_allKPIs,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
6811f61a-00b4-476c-bfe7-238cdd433937,papp.EPSynapse.quality.Reserves_Users,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
69f688bc-6f9e-46a5-bf83-fbd579eac096,papp.EPSynapse.test.EPManagementUser,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
6b8ac6a7-817c-4d2c-946c-93ff452c8833,papp.EPSynapse.test.FinReportingController,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
7152a5ec-08f9-4a5e-a22c-65336ee97df6,papp.EPSynapse.test.NOR_allKPIs,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
7410d597-6550-4292-b752-dddc79d2ec3c,papp.EPSynapse.test.Petrom_allKPIs,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
761c42e6-cb9a-4fbe-90a5-436138b45f67,papp.EPSynapse.quality.Feature.man_ingestiontm1,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
7eb052af-80c2-4d14-aa0e-fb6ab68451cb,papp.EPSynapse.quality.AG_User,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
817428f6-fa6e-42ba-b07c-8d0e2bf0d750,papp.EPSynapse.quality.IT_Admin,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
8a6b6602-c2c4-4680-b14c-56b92782286d,papp.EPSynapse.quality.FinReportingControler,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
8ab894b1-b35c-47ae-b451-e9e3c3a3362c,papp.EPSynapse.prod.Feature.man_ingestiontm1,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
a03a7c1d-fd14-47f7-8d99-458dd2bac328,papp.EPSynapse.prod.EPManagementUser,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
a3a004bf-d81e-4677-a6c7-271f9ff5fe02,papp.EPSynapse.quality.NOR_allKPIs,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
a602616e-0c82-4339-857e-807abd926f98,papp.EPSynapse.prod.Petrom_allKPIs,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
b305a212-3f74-4fe4-b482-8fe2304ef262,papp.EPSynapse.prod.IT_Admin,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
b693728b-fb0b-4f98-a1e9-a8404faa4aba,papp.EPSynapse.prod.LSP_WeeklyReport,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
bf6c6629-5ebd-46be-911b-44487591a055,papp.EPSynapse.test.Feature.Export,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
ca9688f0-62e7-4d31-be96-16f5054ee071,papp.EPSynapse.prod.FinReportingController,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
d94133f8-32bd-402f-a45a-72f56dcc3b41,papp.EPSynapse.test.Feature.man_ingestiontm1,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
de234288-86a3-4806-b698-7a0a72c89027,papp.EPSynapse.quality.Petrom_allKPIs,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
de6938ca-1fdb-4708-b479-6cb67ac11088,papp.EPSynapse.prod.epprojects,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
