Id,Name,Description,Comments
,Auditor,users can check auditlogs,permission to read and check audit-logs
,bd.001.allow,Group of members with allow rights to manage a business development project ,
,bd.001.deny,Group of members to deny any rights for a business development project ,
,bd.access.01,Access group for Neptun,
,bd.access.02,Access group for BD Test1 (N),
,bd.access.03,Access group for BD Test2+Test3 (S+C),
,bd.base,General workgroup that has access to the BD hierarchy,
,bd.deny.01,Deny group for Neptun,
,bd.deny.02,Deny group for BD Test1 (N),
,bd.deny.03,Deny group for BD Test2+Test3 (S+C),
,data.ArabEmirates,Data access to country UnitedArabEmirates,[DATA] PRMS read-update
,data.ArabEmirates.Economics,Data access to country UnitedArabEmirates (economist),[DATA] PRMS create-read-update-delete 
,data.ArabEmirates.Finance,Data access to country UnitedArabEmirates (financials),[DATA] PRMS create-read-update-delete 
,data.ArabEmirates.key,Data access to country UnitedArabEmirates (full access),[DATA] PRMS full access
,data.Australia,Data access to country Australia,[DATA] PRMS read-update
,data.Australia.Economics,Data access to country Australia (economist),[DATA] PRMS create-read-update-delete 
,data.Australia.Finance,Data access to country Australia (financials),[DATA] PRMS create-read-update-delete 
,data.Australia.key,Data access to country Australia (full access),[DATA] PRMS full access
,data.Austria,Data access to country Austria,[DATA] PRMS read-update
,data.Austria.Economics,Data access to country Austria (economist),[DATA] PRMS create-read-update-delete 
,data.Austria.Finance,Data access to country Austria (financials),[DATA] PRMS create-read-update-delete 
,data.Austria.Key,Data access to country Austria (full access),[DATA] PRMS full access
,data.BD.project,Business Development project ,Business Development power user HO
,data.Bulgaria,Data access to country Bulgaria,[DATA] PRMS read-update
,data.Bulgaria.Economics,Data access to country Bulgaria (economist),[DATA] PRMS create-read-update-delete 
,data.Bulgaria.Finance,Data access to country Bulgaria (financials),[DATA] PRMS create-read-update-delete 
,data.Bulgaria.key,Data access to country Bulgaria (full access),[DATA] PRMS full access
,data.Corporate,Data access to ALL countries,[DATA] PRMS read-update
,data.Corporate.Economics,Data access to ALL countries (economist),[DATA] PRMS create-read-update-delete 
,data.Corporate.Finance,Data access to ALL countries (financials),[DATA] PRMS create-read-update-delete 
,data.Corporate.key,Data access to ALL countries (full access),[DATA] PRMS full access
,data.Everyone.Economics,combining all data.country.Economics,combining all data.country.Economics
,data.Georgia,Data access to country Georgia,[DATA] PRMS read-update
,data.Georgia.Economics,Data access to country Georgia (economist),[DATA] PRMS create-read-update-delete 
,data.Georgia.Finance,Data access to country Georgia (financials),[DATA] PRMS create-read-update-delete 
,data.Georgia.key,Data access to country Georgia (full access),[DATA] PRMS full access
,data.Kurdistan,Data access to country Kurdistan,[DATA] PRMS read-update
,data.Kurdistan.Economics,Data access to country Kurdistan (economist),[DATA] PRMS create-read-update-delete 
,data.Kurdistan.Finance,Data access to country Kurdistan (financials),[DATA] PRMS create-read-update-delete 
,data.Kurdistan.key,Data access to country Kurdistan (full access),[DATA] PRMS full access
,data.Libya,Data access to country Libya,[DATA] PRMS read-update
,data.Libya.Economics,Data access to country Libya (economist),[DATA] PRMS create-read-update-delete 
,data.Libya.Finance,Data access to country Libya (financials),[DATA] PRMS create-read-update-delete 
,data.Libya.key,Data access to country Libya (full access),[DATA] PRMS full access
,data.Malaysia,Data access to country Malaysia,[DATA] PRMS read-update
,data.Malaysia.Economics,Data access to country Malaysia (economist),[DATA] PRMS create-read-update-delete 
,data.Malaysia.Finance,Data access to country Malaysia (financials),[DATA] PRMS create-read-update-delete 
,data.Malaysia.key,Data access to country Malaysia (full access),[DATA] PRMS full access
,data.Mexico,Data access to country Mexico,[DATA] PRMS read-update
,data.Mexico.Economics,Data access to country Mexico (economist),[DATA] PRMS create-read-update-delete 
,data.Mexico.Finance,Data access to country Mexico (financials),[DATA] PRMS create-read-update-delete 
,data.Mexico.key,Data access to country Mexico (full access),[DATA] PRMS full access
,data.NewZealand,Data access to country NewZealand,[DATA] PRMS read-update
,data.NewZealand.Economics,Data access to country NewZealand (economist),[DATA] PRMS create-read-update-delete 
,data.NewZealand.Finance,Data access to country NewZealand (financials),[DATA] PRMS create-read-update-delete 
,data.NewZealand.key,Data access to country NewZealand (full access),[DATA] PRMS full access
,data.Norway,Data access to country Norway,[DATA] PRMS read-update
,data.Norway.Economics,Data access to country Norway (economist),[DATA] PRMS create-read-update-delete 
,data.Norway.Finance,Data access to country Norway (financials),[DATA] PRMS create-read-update-delete 
,data.Norway.Key,Data access to country Norway (full access),[DATA] PRMS full access
,data.Reserves_resultsets,WG for AUCERNA Reserves to get the correct resultsets,
,data.Romania,Data access to country Romania,[DATA] PRMS read-update
,data.Romania.economics,Data access to country Romania (economist),[DATA] PRMS create-read-update-delete 
,data.Romania.Finance,Data access to country Romania (financials),[DATA] PRMS create-read-update-delete 
,data.Romania.key,Data access to country Romania (full access),[DATA] PRMS full access
,data.Russia,Data access to country Russia,[DATA] PRMS read-update
,data.Russia.Economics,Data access to country Russia (economist),[DATA] PRMS create-read-update-delete 
,data.Russia.Finance,Data access to country Russia (financials),[DATA] PRMS create-read-update-delete 
,data.Russia.Key,Data access to country Russia (full access),[DATA] PRMS full access
,data.Sapura.Australia,Data access to country Australia,[DATA] PRMS read-update
,data.Sapura.Australia.Economics,Data access to country Australia (economist),[DATA] PRMS create-read-update-delete 
,data.Sapura.Australia.Finance,Data access to country Australia (financials),[DATA] PRMS create-read-update-delete 
,data.Sapura.Australia.key,Data access to country Australia (full access),[DATA] PRMS full access
,data.Sapura.NewZealand,Data access to country NewZealand,[DATA] PRMS read-update
,data.Sapura.NewZealand.Economics,Data access to country NewZealand (economist),[DATA] PRMS create-read-update-delete 
,data.Sapura.NewZealand.Finance,Data access to country NewZealand (financials),[DATA] PRMS create-read-update-delete 
,data.Sapura.NewZealand.key,Data access to country NewZealand (full access),[DATA] PRMS full access
,data.Tunisia,Data access to country Tunisia,[DATA] PRMS read-update
