tenant,workgroup,GID,Category_1,Name,Description,Application name,Category,RID
P2V_DEMO,Auditor,39,Configuration,Audit Logs,Allows a user access to the PlanningSpace Audit Log,PlanningSpace Administration,,15
P2V_DEMO,Auditor,39,Economics,Audit Logs,Allows a user access to the Economics Audit Log,PlanningSpace Economics,,9
P2V_DEMO,Auditor,39,Financials,Audit Logs,Allows a user access to the Financials Audit Log,PlanningSpace Financials,,21
P2V_DEMO,bd.base,104,Dataflow,Documents - Manage Currency Settings,Allows a user to specify the currency settings used by a Document,PlanningSpace Dataflow,MainHierarchy,36
P2V_DEMO,bd.base,104,Dataflow,Manage Data,Allows a user access to the Manage Data workspace,PlanningSpace Dataflow,MainHierarchy,30
P2V_DEMO,bd.base,104,Dataflow,Reports - Run,Allows a user to run reports,PlanningSpace Dataflow,MainHierarchy,25
P2V_DEMO,bd.base,104,Dataflow,Revisions Apply and Remove Tags,Allows the user to apply and remove revision tags in the Manage Data workspace,PlanningSpace Dataflow,MainHierarchy,33
P2V_DEMO,Dataflow.base,290,Dataflow,Manage Data,Allows a user access to the Manage Data workspace,PlanningSpace Dataflow,MainHierarchy,30
P2V_DEMO,Dataflow.base,290,Dataflow,Reports - Run,Allows a user to run reports,PlanningSpace Dataflow,MainHierarchy,25
P2V_DEMO,Dataflow.base,290,Dataflow,Revisions Apply and Remove Tags,Allows the user to apply and remove revision tags in the Manage Data workspace,PlanningSpace Dataflow,MainHierarchy,33
P2V_DEMO,Dataflow.baseplus,291,Dataflow,Documents - Manage Scenarios,Allows a user to manage the Scenarios of data within a Document,PlanningSpace Dataflow,MainHierarchy,27
P2V_DEMO,Dataflow.baseplus,291,Dataflow,"Hierarchy - Move, Delete, Rename","Allows a user to move, delete and rename a Document within a Version",PlanningSpace Dataflow,MainHierarchy,28
P2V_DEMO,DataFlow.key,21,Dataflow,Documents - Manage Currency Settings,Allows a user to specify the currency settings used by a Document,PlanningSpace Dataflow,MainHierarchy,36
P2V_DEMO,DataFlow.key,21,Dataflow,Documents - Manage Date Settings,Allows a user to specify the date settings used by a Document,PlanningSpace Dataflow,MainHierarchy,31
P2V_DEMO,DataFlow.power,22,Dataflow,Document Templates and Variables,Allows a user to configure Document Templates and Variables,PlanningSpace Dataflow,MainHierarchy,32
P2V_DEMO,DataFlow.power,22,Dataflow,Hierarchy - Change To,Allows a user to change the Node Type of a Document,PlanningSpace Dataflow,MainHierarchy,29
P2V_DEMO,DataFlow.power,22,Dataflow,Lists,Allows a user to configure Lists,PlanningSpace Dataflow,MainHierarchy,42
P2V_DEMO,DataFlow.power,22,Dataflow,Reports - Design,Allows a user to design reports,PlanningSpace Dataflow,MainHierarchy,26
P2V_DEMO,DataFlow.power,22,Dataflow,Tags,Allows a user to configure Tags,PlanningSpace Dataflow,MainHierarchy,43
P2V_DEMO,DataFlow.power,22,Dataflow,Templates Unlock,Allows a user to unlock Document Templates,PlanningSpace Dataflow,MainHierarchy,45
P2V_DEMO,DataFlow.power,22,Dataflow,Versions,Allows a user to manage Versions,PlanningSpace Dataflow,MainHierarchy,35
P2V_DEMO,DataFlow.power,22,Dataflow,Workflows - Design,Allows a user to design Workflows,PlanningSpace Dataflow,MainHierarchy,34
P2V_DEMO,DataFlow.power,22,Dataflow,Workflows - Terminate,Allows a user to terminate a Workflow,PlanningSpace Dataflow,MainHierarchy,38
P2V_DEMO,Dataflow.quicklook,300,Dataflow,Documents - Manage Economics Settings,Allows a user to specify the Economics settings used by a Document,PlanningSpace Dataflow,MainHierarchy,39
P2V_DEMO,Dataflow.unlock,65,Dataflow,Documents - Unlock,Allows a user to unlock Documents,PlanningSpace Dataflow,MainHierarchy,44
P2V_DEMO,Economics.base,283,Economics,Access,Allows a user access to the Economics module,PlanningSpace Economics,,8
P2V_DEMO,Economics.key,24,Economics,Global Settings,Allows a user to configure Companies and Project Scenarios,PlanningSpace Economics,,5
P2V_DEMO,Economics.key,24,Economics,Manage Hierarchies,Allows a user to manage Hierarchies,PlanningSpace Economics,,7
P2V_DEMO,Economics.key,24,Economics,Dataflow Links,Allows a user to manage links between Dataflow Documents and Economics Projects,PlanningSpace Economics,,24
P2V_DEMO,Economics.key,24,Economics,Hierarchy Prices - Configure,Allows a user to configure Hierarchy Prices,PlanningSpace Economics,,70
P2V_DEMO,Economics.key,24,Economics,Hierarchy Currencies - Configure,Allows a user to configure Hierarchy Currencies,PlanningSpace Economics,,71
P2V_DEMO,Economics.power,23,Configuration,Currencies,Allows a user to configure Currencies,PlanningSpace Corporate,,1
P2V_DEMO,Economics.power,23,Configuration,Prices,Allows a user to configure Prices,PlanningSpace Corporate,,2
P2V_DEMO,Economics.power,23,Economics,Reports - Design,Allows a user to design Economics Reports,PlanningSpace Economics,,4
P2V_DEMO,Economics.regimes,42,Economics,Regime Library,Allows a user to access the Regime Library,PlanningSpace Economics,,6
P2V_DEMO,Economics.regimes.readonly,177,Economics,Regime Library,Allows a user to access the Regime Library,PlanningSpace Economics,,6
P2V_DEMO,Economics.unlock,89,Economics,Locks,Allows a user to unlock Economics entities,PlanningSpace Economics,,10
P2V_DEMO,Everyone,2,Configuration,Reports - Print,Allows a user to print reports,PlanningSpace,,77
P2V_DEMO,Everyone,2,Economics,Hierarchy Currencies - View,Allows a user to view Hierarchy Currencies,PlanningSpace Economics,,76
P2V_DEMO,Everyone,2,Economics,Hierarchy Prices - View,Allows a user to view Hierarchy Prices,PlanningSpace Economics,,75
P2V_DEMO,Everyone,2,Financials,Hierarchy Currencies - View,Allows a user to view Hierarchy Currencies,PlanningSpace Financials,,74
P2V_DEMO,Financials.base,284,Financials,Access,Allows a user access to the Financials module,PlanningSpace Financials,,20
P2V_DEMO,Financials.key,30,Financials,Dataflow Links,Allows a user to manage links between Dataflow Documents and Financials Projects,PlanningSpace Financials,,66
P2V_DEMO,Financials.key,30,Financials,Manage Hierarchies,Allows a user to manage Hierarchies,PlanningSpace Financials,,19
P2V_DEMO,Financials.power,29,Financials,Global Settings,Allows a user to configure Project Scenarios,PlanningSpace Financials,,17
P2V_DEMO,Financials.power,29,Financials,Hierarchy Currencies - Configure,Allows a user to configure Hierarchy Currencies,PlanningSpace Financials,,69
P2V_DEMO,Financials.power,29,Financials,Locks,Allows a user to unlock Financials entities,PlanningSpace Financials,,22
P2V_DEMO,Financials.power,29,Financials,Reports - Design,Allows a user to design Financials Reports,PlanningSpace Financials,,16
P2V_DEMO,Financials.regimes,43,Financials,Regime Library,Allows a user to access the Regime Library,PlanningSpace Financials,,18
P2V_DEMO,Financials.regimes.readonly,288,Financials,Regime Library,Allows a user to access the Regime Library,PlanningSpace Financials,,18
P2V_DEMO,P2V.base,20,Dataflow,Manage Data,Allows a user access to the Manage Data workspace,PlanningSpace Dataflow,MainHierarchy,30
P2V_DEMO,P2V.base,20,Dataflow,Reports - Run,Allows a user to run reports,PlanningSpace Dataflow,MainHierarchy,25
P2V_DEMO,P2V.base,20,Dataflow,Revisions Apply and Remove Tags,Allows the user to apply and remove revision tags in the Manage Data workspace,PlanningSpace Dataflow,MainHierarchy,33
P2V_DEMO,Portfolio.base,25,Portfolio,Access,Allows a user access to the Portfolio module,PlanningSpace Portfolio,,67
P2V_DEMO,Reporting,37,Dataflow,Manage Data,Allows a user access to the Manage Data workspace,PlanningSpace Dataflow,MainHierarchy,30
P2V_DEMO,Reporting,37,Portfolio,Access,Allows a user access to the Portfolio module,PlanningSpace Portfolio,,67
P2V_DEMO,Reporting,37,Security,API Key,Allows a user to generate and utilize API keys for web API calls,PlanningSpace Administration,,23
P2V_DEMO,systemcheck,280,Dataflow,Manage Data,Allows a user access to the Manage Data workspace,PlanningSpace Dataflow,MainHierarchy,30
P2V_DEMO,systemcheck,280,Economics,Access,Allows a user access to the Economics module,PlanningSpace Economics,,8
P2V_DEMO,systemcheck,280,Economics,Dataflow Links,Allows a user to manage links between Dataflow Documents and Economics Projects,PlanningSpace Economics,,24
