Id,Name,Description,Comments
1,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.
39,Auditor,users can check auditlogs,permission to read and check audit-logs
163,bd.access.01,Access group for Neptun,
165,bd.access.02,Access group for BD Test1 (N),
168,bd.access.03,Access group for BD Test2+Test3 (S+C),
162,bd.base,General workgroup that has access to the BD hierarchy,
164,bd.deny.01,Deny group for Neptun,
166,bd.deny.02,Deny group for BD Test1 (N),
167,bd.deny.03,Deny group for BD Test2+Test3 (S+C),
94,data.ArabEmirates,Data access to country ArabEmirates,[DATA] PRMS read-update
129,data.ArabEmirates.Economics,Data access to UAE for BO Economists,
109,data.ArabEmirates.key,Data access to country ArabEmirates (full access),[DATA] PRMS full access
108,data.Australia,Data access to country Australia,[DATA] PRMS read-update
133,data.Australia.Economics,Data access to Australia for BO Economists,
114,data.Australia.key,Data access to country Australia (full access),[DATA] PRMS full access
9,data.Austria,Data access to country Austria,[DATA] PRMS read-update
101,data.Austria.Economics,Data access to country Austria (Eco),
111,data.Austria.Finance,Data access to country Austria (Fin),
45,data.Austria.Key,Data access to country Austria (full access),[DATA] PRMS full access
119,data.Bulgaria,Data access to country Bulgaria,[DATA] PRMS read-update
161,data.Bulgaria.Economics,Data access to Bulgaria for BO Economists,
103,data.Bulgaria.key,Data access to country Bulgaria (full access),[DATA] PRMS full access
8,data.Corporate,Data access to ALL countries,[DATA] PRMS read-update
113,data.Corporate.Economics,Data access to ALL countries (Eco),
124,data.Corporate.Finance,Data access to ALL countries (Fin),
88,data.Corporate.key,Data access to ALL countries (full access),[DATA] PRMS full access
110,data.Georgia,Data access to country Georgia,[DATA] PRMS read-update
131,data.Georgia.Economics,Data access to Georgia for BO Economists,
100,data.Georgia.key,Data access to country Georgia (full access),[DATA] PRMS full access
104,data.Kurdistan,Data access to country Kurdistan,[DATA] PRMS read-update
125,data.Kurdistan.key,Data access to country Kurdistan (full access),[DATA] PRMS full access
63,data.Libya,Data access to country Libya,[DATA] PRMS read-update
123,data.Libya.Finance,Data access to country Libya (Fin),
64,data.Libya.key,Data access to country Libya (full access),[DATA] PRMS full access
97,data.Malaysia,Data access to country Malaysia,[DATA] PRMS read-update
117,data.Malaysia.key,Data access to country Malaysia (full access),[DATA] PRMS full access
105,data.Mexico,Data access to country Mexico,[DATA] PRMS read-update
121,data.Mexico.key,Data access to country Mexico (full access),[DATA] PRMS full access
95,data.NewZealand,Data access to country NewZealand,[DATA] PRMS read-update
132,data.NewZealand.Economics,Data access to UAE for BO Economists,
115,data.NewZealand.key,Data access to country NewZealand (full access),[DATA] PRMS full access
10,data.Norway,Data access to country Norway,[DATA] PRMS read-update
122,data.Norway.Economics,Data access to country Norway (Eco),
112,data.Norway.Finance,Data access to country Norway (Fin),
46,data.Norway.Key,Data access to country Norway (full access),[DATA] PRMS full access
171,data.reserves_resultsets,WG for AUCERNA Reserves to get the correct resultsets,
130,data.Romania.economics,Data access to Romania for BO Economists,
106,data.Romania.key,Data access to country Romania (full access),[DATA] PRMS full access
11,data.Russia,Data access to country Russia,[DATA] PRMS read-update
120,data.Russia.Finance,Data access to country Russia (Fin),
47,data.Russia.Key,Data access to country Russia (full access),[DATA] PRMS full access
61,data.Tunisia,Data access to country Tunisia,
107,data.Tunisia.Economics,Data access to country Tunisia (Eco),
102,data.Tunisia.Finance,Data access to country Tunisia (Fin),
62,data.Tunisia.Key,Data access to country Tunisia (full access),[DATA] PRMS full access
98,data.Yemen,Data access to country Yemen,[DATA] PRMS read-update
128,data.Yemen.Economics,Data access to Yemen for BO Economists,
116,data.Yemen.key,Data access to country Yemen (full access),[DATA] PRMS full access
22,DataFlow.power,Dataflow Power user,Dataflow Power user in Headoffice
40,Developer,internal & external developers,permissions needed for developers
24,Economics.key,Economics key user ,Economics user in Branchoffice
42,Economics.regimes,additional permission for Economics user to access Regime Library,
126,Economics.regimes.readonly,readonly access to the regimes lib,
89,Economics.unlock,additional permission for Economics user to unlock entities ,
2,Everyone,Default workgroup.,This group consists only public permission on the engine.
30,Financials.key,Financials key user,Controlling key user in Branchoffice
29,Financials.power,Financials power user HO,Controlling power user  in Headoffice
43,Financials.regimes,additional permission for Financials user to access Regime Library,
44,Input.Approve,Input.Approve,
48,Input.Confirm,Input.Confirm,
136,license.heavy,Heavy license users,to manage the license-requirments
144,license.light,Light licences users,to manage the license-requirments
65,Objects.unlock,Objects.unlock,
4,OMV_CoreTeam,OMV Core Team Members,temp. Group for initial project phast - should disappear at later stage
41,P2V.admin,Plan2Value administrators,permissions to almost everything
20,P2V.base,P2V base access,user are allowed to update their project data
7,P2V.developer,Group of internal/external developers,all external AUCERNA experts to support 
6,PetroVR,PetroVR user,Users are allowed to use Economics as a Service ; DataLoader
25,Portfolio,Portfolio user,Portfolio power user in HO
146,profile.Admin.Developer,profile.Admin.Developer,
152,profile.Admin.Headoffice,profile.Admin.Headoffice,
153,profile.Economics.Headoffice,profile.Economics.Headoffice,
150,profile.Economics.local,profile.Economics.local,
139,profile.Finance.Headoffice,profile.Finance.Headoffice,
147,profile.Finance.local,profile.Finance.local,
143,profile.Finance.Regimes,profile.Finance.Regimes,
141,profile.LightUser.Headoffice,profile.LightUser.Headoffice,
140,profile.LightUser.local,profile.LightUser.local,
154,profile.PetroVR,profile.PetroVR,
155,profile.PP.Headoffice,profile.PP.Headoffice,
149,profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,
156,profile.PP.local,profile.PP.local,
151,profile.Projectmanager,profile.Projectmanager,
158,profile.Resources.Headoffice,profile.Resources.Headoffice,
157,profile.Resources.local,profile.Resources.local,
145,profile.Student.local,profile.Student.local,
37,Reporting,External Data interface using Odata,permissions to use Odata as interface
93,Reserves.Administrator,Reserves.Administrator,
172,Reserves.Approver,Reserves.Approver,
91,Reserves.Approver.bo,Reserves.Approver.bo,
66,Reserves.base,Reserves.base,
32,Reserves.key,Resources/Reserves key user,Reserves key user + QREs
31,Reserves.power,Resources/Reserves power user HO,Reserves power user in Headoffice
68,Reserves.Security,Reserves.useradmin + Reserves.DataAdmin,
79,temp.adjust.admin,temp.adjust.admin,
86,temp.adjust.admin.deny,temp.adjust.admin.deny,
80,temp.adjust.admin.readonly,temp.adjust.admin.readonly,
73,temp.adjust.eco,temp.adjust.eco,
75,temp.adjust.eco.deny,temp.adjust.eco.deny,
74,temp.adjust.eco.readonly,temp.adjust.eco.readonly,
76,temp.adjust.ecoresults,temp.adjust.ecoresults,
78,temp.adjust.ecoresults.deny,temp.adjust.ecoresults.deny,
77,temp.adjust.ecoresults.readonly,temp.adjust.ecoresults.readonly,
81,temp.adjust.fin,temp.adjust.fin,
87,temp.adjust.fin.deny,temp.adjust.fin.deny,
82,temp.adjust.fin.readonly,temp.adjust.fin.readonly,
83,temp.adjust.input,temp.adjust.input,
85,temp.adjust.input.deny,temp.adjust.input.deny,
84,temp.adjust.input.readonly,temp.adjust.input.readonly,
52,temp.admin,temp.admin,
54,temp.admin.deny,temp.admin.deny,
53,temp.admin.readonly,temp.admin.readonly,
49,temp.economics,temp.economics,
51,temp.economics.deny,temp.economics.deny,
50,temp.economics.readonly,temp.economics.readonly,
70,temp.ecoresults,temp.ecoresults,
72,temp.ecoresults.deny,temp.ecoresults.deny,
71,temp.ecoresults.readonly,temp.ecoresults.readonly,
55,temp.financials,temp.financials,
57,temp.financials.deny,temp.financials.deny,
56,temp.financials.readonly,temp.financials.readonly,
58,temp.input,temp.input,
60,temp.input.deny,temp.input.deny,
59,temp.input.readonly,temp.input.readonly,
38,User.admin,User for useradministration,permissions to add/change user /workgroup assignments
