profile,user,groups,type,license
Economist local,demo1,data.Austria,AT,
Economist local,demo1,Economics.key,LOCAL,
Economist local,demo1,Everyone,LOCAL,
Economist local,demo1,Input.Confirm,LOCAL,
Economist local,demo1,P2V.base,LOCAL,
Economist local,demo1,Portfolio,LOCAL,
Economist local,demo1,Reporting,LOCAL,
Economist local,demo1,temp.adjust.admin,LOCAL,
Economist local,demo1,temp.adjust.eco,LOCAL,
Economist local,demo1,temp.adjust.ecoresults,LOCAL,
Economist local,demo1,temp.adjust.fin.readonly,LOCAL,
Economist local,demo1,temp.adjust.input,LOCAL,
Economist local,demo1,temp.admin,LOCAL,
Economist local,demo1,temp.economics,LOCAL,
Economist local,demo1,temp.ecoresults,LOCAL,
Economist local,demo1,temp.financials.readonly,LOCAL,
Economist local,demo1,temp.input,LOCAL,
PPP local,demo10,data.Norway,NO,
PPP local,demo10,data.Norway.Key,NO,
PPP local,demo10,DataFlow.key,LOCAL,
PPP local,demo10,Everyone,LOCAL,
PPP local,demo10,Input.Confirm,LOCAL,
PPP local,demo10,P2V.base,LOCAL,
PPP local,demo10,Portfolio,LOCAL,
PPP local,demo10,Reporting,LOCAL,
PPP local,demo10,temp.adjust.admin,LOCAL,
PPP local,demo10,temp.adjust.eco.readonly,LOCAL,
PPP local,demo10,temp.adjust.ecoresults.readonly,LOCAL,
PPP local,demo10,temp.adjust.fin.readonly,LOCAL,
PPP local,demo10,temp.adjust.input.readonly,LOCAL,
PPP local,demo10,temp.admin,LOCAL,
PPP local,demo10,temp.economics.readonly,LOCAL,
PPP local,demo10,temp.ecoresults.readonly,LOCAL,
PPP local,demo10,temp.financials.readonly,LOCAL,
PPP local,demo10,temp.input,LOCAL,
Finance local,demo11,data.Norway,NO,
Finance local,demo11,Everyone,LOCAL,
Finance local,demo11,Financials.key,LOCAL,
Finance local,demo11,Input.Confirm,LOCAL,
Finance local,demo11,P2V.base,LOCAL,
Finance local,demo11,Portfolio,LOCAL,
Finance local,demo11,Reporting,LOCAL,
Finance local,demo11,temp.adjust.admin.readonly,LOCAL,
Finance local,demo11,temp.adjust.eco.readonly,LOCAL,
Finance local,demo11,temp.adjust.ecoresults,LOCAL,
Finance local,demo11,temp.adjust.fin.readonly,LOCAL,
Finance local,demo11,temp.adjust.input.readonly,LOCAL,
Finance local,demo11,temp.admin.readonly,LOCAL,
Finance local,demo11,temp.economics.readonly,LOCAL,
Finance local,demo11,temp.ecoresults.readonly,LOCAL,
