ADgroup,lic_type,PSgroup,RESgroup,Description,Comments
dlg.WW.ADM-Services.P2V.Admin,FALSE,TRUE,Administrators,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.
dlg.WW.ADM-Services.P2V.approver,TRUE,FALSE,Approver,Approver,Group of approvers,approval permissions 
dlg.WW.ADM-Services.P2V.Aucerna,FALSE,TRUE,AUCERNA,AUCERNA,Group for AUCERNA experts,all external AUCERNA experts to support 
dlg.WW.ADM-Services.P2V.auditor,TRUE,FALSE,Auditor,Auditor,users can check auditlogs,permission to read and check audit-logs
dlg.WW.ADM-Services.P2V.BD.key,FALSE,TRUE,BusinessDev_key,BusinessDev_key,Business Development key user,Business Development key user
dlg.WW.ADM-Services.P2V.BD.power,FALSE,TRUE,BusinessDev_power,BusinessDev_power,Business Development power user HO,Business Development power user HO
dlg.WW.ADM-Services.P2V.CO.key,FALSE,TRUE,Controlling_key,Controlling_key,Controlling key user,Controlling key user
dlg.WW.ADM-Services.P2V.CO.power,FALSE,TRUE,Controlling_power,Controlling_power,Controlling power user HO,Controlling power user HO
dlg.WW.ADM-Services.P2V.DataLoader,TRUE,FALSE,Data_Loader,Data_Loader,Data provider,user are allowed to update their project data
dlg.WW.ADM-Services.P2V.DF.key,FALSE,TRUE,Dataflow_key,Dataflow_key,DF Key user ,DF Key user in Branchoffice
dlg.WW.ADM-Services.P2V.DF.power,FALSE,TRUE,Dataflow_power,Dataflow_power,DF Power user in HO,DF Power user in Headoffice
dlg.WW.ADM-Services.P2V.ECO.key,FALSE,TRUE,Economics_key,Economics_key,Economics key user ,Economics user in HO + BO
dlg.WW.ADM-Services.P2V.ECO.power,FALSE,TRUE,Economics_power,Economics_power,Economics power user in HO,Economics power user in headoffice - global settings
dlg.WW.ADM-Services.P2V.EX.key,FALSE,TRUE,Exploration_key,Exploration_key,Exploration key user,Exploration key user
dlg.WW.ADM-Services.P2V.EX.power,FALSE,TRUE,Exploration_power,Exploration_power,Exploration power user HO,Exploration power user HO
dlg.WW.ADM-Services.P2V.Interfaces,TRUE,FALSE,Interfaces,Interfaces,group for API usage,permissions used for interface APIs
dlg.WW.ADM-Services.P2V.Odata,TRUE,FALSE,OData,OData,External Data interface using Odata,permissions to use Odata as interface
dlg.WW.ADM-Services.P2V.data.AE,TRUE,FALSE,OMV_ArabEmirates,OMV_ArabEmirates,OMV BO ArabEmirates users,are allowed to see on data from BO ArabEmirates
dlg.WW.ADM-Services.P2V.data.AT,TRUE,FALSE,OMV_Austria,OMV_Austria,OMV BO Austria users,are allowed to see on data from BO Austria
dlg.WW.ADM-Services.P2V.data.KZ,TRUE,FALSE,OMV_Kazakhstan,OMV_Kazakhstan,OMV BO Kazakhstan users,are allowed to see on data from BO Kazakhstan
dlg.WW.ADM-Services.P2V.data.LY,TRUE,FALSE,OMV_Libya,OMV_Libya,OMV BO Libya users,are allowed to see on data from BO Libya
dlg.WW.ADM-Services.P2V.data.NZ,TRUE,FALSE,OMV_NewZealand,OMV_NewZealand,OMV BO New Zealand users,are allowed to see on data from BO New Zealand
dlg.WW.ADM-Services.P2V.data.NO,TRUE,FALSE,OMV_Norway,OMV_Norway,OMV BO Norway users,are allowed to see on data from BO Norway
dlg.WW.ADM-Services.P2V.data.Petrom,TRUE,FALSE,OMV_Petrom,OMV_Petrom,OMV Petrom users,are allowed to see on data from OMV Petrom
dlg.WW.ADM-Services.P2V.data.RU,TRUE,FALSE,OMV_Russia,OMV_Russia,OMV BO Russia users,are allowed to see on data from BO Russia
dlg.WW.ADM-Services.P2V.data.Sapura,TRUE,FALSE,OMV_Sapura,OMV_Sapura,OMV Sapura users,are allowed to see on data from OMV Sapura
dlg.WW.ADM-Services.P2V.data.TN,TRUE,FALSE,OMV_Tunisia,OMV_Tunisia,OMV BO Tunisia users,are allowed to see on data from BO Tunisisa
dlg.WW.ADM-Services.P2V.data.Upstream,TRUE,FALSE,OMV_Upstream,OMV_Upstream,OMV Headoffice users (corporate) ,are allowed to see data from all countries 
dlg.WW.ADM-Services.P2V.data.YE,TRUE,FALSE,OMV_Yemen,OMV_Yemen,OMV BO Yemen users,are allowed to see on data from BO Yemen
dlg.WW.ADM-Services.P2V.serveradmin,FALSE,FALSE,Everyone,Everyone,Standard account,minimum permission
dlg.WW.ADM-Services.P2V.users,FALSE,FALSE,Everyone,Everyone,Standard account,minimum permission
dlg.WW.ADM-Services.P2V.testusers,FALSE,FALSE,OMV_CoreTeam,OMV_CoreTeam,OMV Core Team Members,temp. Group for initial project phast - should disappear at later stage
dlg.WW.ADM-Services.P2V.testserveradmin,FALSE,FALSE,Everyone,Everyone,Standard account,minimum permission
dlg.WW.ADM-Services.PetroVR,TRUE,FALSE,PetroVR_users,PetroVR_users,PetroVR user,Users are allowed to use Economics as a Service
dlg.WW.ADM-Services.P2V.PP.key,FALSE,TRUE,PlanPort_key,PlanPort_key,Planning & Portfolio key user,Planning & Portfolio key user
dlg.WW.ADM-Services.P2V.PP.power,FALSE,TRUE,PlanPort_power,PlanPort_power,Planning & Portfolio power user in HO,Planning & Portfolio power user in HO
dlg.WW.ADM-Services.P2V.RES.key,FALSE,TRUE,Reserves_key,Reserves key user,Reserves key user ,
dlg.WW.ADM-Services.P2V.RES.power,FALSE,TRUE,Reserves_power,Reserves_power,Reserves power user HO,Reserves power user HO
dlg.WW.ADM-Services.P2V.useradmin,FALSE,TRUE,Useradmin,Useradmin,User for useradministration,permissions to add/change users



