data.Corporate,Data access to ALL countries,8,PlanningSpace Dataflow,Organization,1,Allow,NULL,NULL,NULL,NULL
DataFlow.power,Dataflow Power user,22,PlanningSpace Dataflow,Organization,1,Allow,NULL,Allow,NULL,NULL
Everyone,Default workgroup.,2,PlanningSpace Dataflow,Organization,1,Allow,NULL,NULL,NULL,NULL
data.Corporate,Data access to ALL countries,8,PlanningSpace Dataflow,Country,2,Allow,NULL,NULL,NULL,NULL
data.Corporate.Economics,Data access to ALL countries (economist),95,PlanningSpace Dataflow,Country,2,Allow,NULL,Allow,Allow,NULL
data.Corporate.Finance,Data access to ALL countries (financials),101,PlanningSpace Dataflow,Country,2,Allow,NULL,Allow,Allow,NULL
DataFlow.power,Dataflow Power user,22,PlanningSpace Dataflow,Country,2,Allow,Allow,Allow,Allow,Allow
data.Corporate,Data access to ALL countries,8,PlanningSpace Dataflow,Legal Entity,25,Allow,NULL,NULL,NULL,NULL
data.Corporate.Economics,Data access to ALL countries (economist),95,PlanningSpace Dataflow,Legal Entity,25,Allow,NULL,Allow,Allow,NULL
data.Corporate.Finance,Data access to ALL countries (financials),101,PlanningSpace Dataflow,Legal Entity,25,Allow,NULL,Allow,Allow,NULL
DataFlow.key,"Dataflow Key user ",21,PlanningSpace Dataflow,Legal Entity,25,Allow,Allow,Allow,Allow,NULL
DataFlow.power,Dataflow Power user,22,PlanningSpace Dataflow,Legal Entity,25,Allow,Allow,Allow,Allow,Allow
P2V.base,P2V base access,20,PlanningSpace Dataflow,Legal Entity,25,Allow,NULL,NULL,NULL,NULL
data.Corporate,Data access to ALL countries,8,PlanningSpace Dataflow,Contract Area,26,Allow,NULL,NULL,NULL,NULL
data.Corporate.Economics,Data access to ALL countries (economist),95,PlanningSpace Dataflow,Contract Area,26,Allow,NULL,Allow,Allow,NULL
data.Corporate.Finance,Data access to ALL countries (financials),101,PlanningSpace Dataflow,Contract Area,26,Allow,NULL,Allow,Allow,NULL
DataFlow.key,"Dataflow Key user ",21,PlanningSpace Dataflow,Contract Area,26,Allow,Allow,Allow,Allow,NULL
DataFlow.power,Dataflow Power user,22,PlanningSpace Dataflow,Contract Area,26,Allow,Allow,Allow,Allow,Allow
P2V.base,P2V base access,20,PlanningSpace Dataflow,Contract Area,26,Allow,NULL,NULL,NULL,NULL
data.Corporate,Data access to ALL countries,8,PlanningSpace Dataflow,Field,27,Allow,NULL,NULL,NULL,NULL
data.Corporate.Economics,Data access to ALL countries (economist),95,PlanningSpace Dataflow,Field,27,Allow,NULL,Allow,Allow,NULL
data.Corporate.Finance,Data access to ALL countries (financials),101,PlanningSpace Dataflow,Field,27,Allow,NULL,Allow,Allow,NULL
DataFlow.key,"Dataflow Key user ",21,PlanningSpace Dataflow,Field,27,Allow,Allow,Allow,Allow,NULL
DataFlow.power,Dataflow Power user,22,PlanningSpace Dataflow,Field,27,Allow,Allow,Allow,Allow,Allow
P2V.base,P2V base access,20,PlanningSpace Dataflow,Field,27,Allow,NULL,NULL,NULL,NULL
data.Corporate,Data access to ALL countries,8,PlanningSpace Dataflow,Reservoir Group,28,Allow,NULL,NULL,NULL,NULL
data.Corporate.Economics,Data access to ALL countries (economist),95,PlanningSpace Dataflow,Reservoir Group,28,Allow,NULL,Allow,Allow,NULL
data.Corporate.Finance,Data access to ALL countries (financials),101,PlanningSpace Dataflow,Reservoir Group,28,Allow,NULL,Allow,Allow,NULL
DataFlow.key,"Dataflow Key user ",21,PlanningSpace Dataflow,Reservoir Group,28,Allow,Allow,Allow,Allow,NULL
DataFlow.power,Dataflow Power user,22,PlanningSpace Dataflow,Reservoir Group,28,Allow,Allow,Allow,Allow,Allow
P2V.base,P2V base access,20,PlanningSpace Dataflow,Reservoir Group,28,Allow,NULL,NULL,NULL,NULL
data.Austria,Data access to country Austria,9,PlanningSpace Dataflow,Project AUT (PRMS),29,Allow,NULL,Allow,NULL,NULL
data.Austria.Economics,Data access to country Austria (economist),90,PlanningSpace Dataflow,Project AUT (PRMS),29,Allow,Allow,Allow,Allow,NULL
data.Austria.Finance,Data access to country Austria (financials),96,PlanningSpace Dataflow,Project AUT (PRMS),29,Allow,Allow,Allow,Allow,NULL
data.Austria.Key,Data access to country Austria (full access),45,PlanningSpace Dataflow,Project AUT (PRMS),29,Allow,Allow,Allow,Allow,Allow
data.Corporate,Data access to ALL countries,8,PlanningSpace Dataflow,Project AUT (PRMS),29,Allow,NULL,Allow,NULL,NULL
data.Corporate.Economics,Data access to ALL countries (economist),95,PlanningSpace Dataflow,Project AUT (PRMS),29,Allow,Allow,Allow,Allow,NULL
data.Corporate.Finance,Data access to ALL countries (financials),101,PlanningSpace Dataflow,Project AUT (PRMS),29,Allow,Allow,Allow,Allow,NULL
data.Corporate.key,Data access to ALL countries (full access),88,PlanningSpace Dataflow,Project AUT (PRMS),29,Allow,Allow,Allow,Allow,Allow
data.Corporate,Data access to ALL countries,8,PlanningSpace Dataflow,Project NOR (PRMS),30,Allow,NULL,Allow,NULL,NULL
data.Corporate.Economics,Data access to ALL countries (economist),95,PlanningSpace Dataflow,Project NOR (PRMS),30,Allow,Allow,Allow,Allow,NULL
data.Corporate.Finance,Data access to ALL countries (financials),101,PlanningSpace Dataflow,Project NOR (PRMS),30,Allow,Allow,Allow,Allow,NULL
data.Corporate.key,Data access to ALL countries (full access),88,PlanningSpace Dataflow,Project NOR (PRMS),30,Allow,Allow,Allow,Allow,Allow
data.Norway,Data access to country Norway,10,PlanningSpace Dataflow,Project NOR (PRMS),30,Allow,NULL,Allow,NULL,NULL
data.Norway.Economics,Data access to country Norway (economist),91,PlanningSpace Dataflow,Project NOR (PRMS),30,Allow,Allow,Allow,Allow,NULL
data.Norway.Finance,Data access to country Norway (financials),98,PlanningSpace Dataflow,Project NOR (PRMS),30,Allow,Allow,Allow,Allow,NULL
data.Norway.Key,Data access to country Norway (full access),46,PlanningSpace Dataflow,Project NOR (PRMS),30,Allow,Allow,Allow,Allow,Allow
data.Corporate,Data access to ALL countries,8,PlanningSpace Dataflow,Project RUS (PRMS),31,Allow,NULL,Allow,NULL,NULL
data.Corporate.Economics,Data access to ALL countries (economist),95,PlanningSpace Dataflow,Project RUS (PRMS),31,Allow,Allow,Allow,Allow,NULL
data.Corporate.Finance,Data access to ALL countries (financials),101,PlanningSpace Dataflow,Project RUS (PRMS),31,Allow,Allow,Allow,Allow,NULL
data.Corporate.key,Data access to ALL countries (full access),88,PlanningSpace Dataflow,Project RUS (PRMS),31,Allow,Allow,Allow,Allow,Allow
data.Russia,Data access to country Russia,11,PlanningSpace Dataflow,Project RUS (PRMS),31,Allow,NULL,Allow,NULL,NULL
data.Russia.Economics,Data access to country Russia (economist),92,PlanningSpace Dataflow,Project RUS (PRMS),31,Allow,Allow,Allow,Allow,NULL
data.Russia.Finance,Data access to country Russia (financials),99,PlanningSpace Dataflow,Project RUS (PRMS),31,Allow,Allow,Allow,Allow,NULL
data.Russia.Key,Data access to country Russia (full access),47,PlanningSpace Dataflow,Project RUS (PRMS),31,Allow,Allow,Allow,Allow,Allow
data.Corporate,Data access to ALL countries,8,PlanningSpace Dataflow,Project TUN (PRMS),32,Allow,NULL,Allow,NULL,NULL
data.Corporate.Economics,Data access to ALL countries (economist),95,PlanningSpace Dataflow,Project TUN (PRMS),32,Allow,Allow,Allow,Allow,NULL
data.Corporate.Finance,Data access to ALL countries (financials),101,PlanningSpace Dataflow,Project TUN (PRMS),32,Allow,Allow,Allow,Allow,NULL
data.Corporate.key,Data access to ALL countries (full access),88,PlanningSpace Dataflow,Project TUN (PRMS),32,Allow,Allow,Allow,Allow,Allow
data.Tunisia,Data access to country Tunisia,61,PlanningSpace Dataflow,Project TUN (PRMS),32,Allow,NULL,Allow,NULL,NULL
data.Tunisia.Economics,Data access to country Tunisia (economist),93,PlanningSpace Dataflow,Project TUN (PRMS),32,Allow,Allow,Allow,Allow,NULL
data.Tunisia.Finance,Data access to country Tunisia (financials),97,PlanningSpace Dataflow,Project TUN (PRMS),32,Allow,Allow,Allow,Allow,NULL
data.Tunisia.Key,Data access to country Tunisia (full access),62,PlanningSpace Dataflow,Project TUN (PRMS),32,Allow,Allow,Allow,Allow,Allow
data.Corporate,Data access to ALL countries,8,PlanningSpace Dataflow,Project LBY (PRMS),33,Allow,NULL,Allow,NULL,NULL
data.Corporate.Economics,Data access to ALL countries (economist),95,PlanningSpace Dataflow,Project LBY (PRMS),33,Allow,Allow,Allow,Allow,NULL
data.Corporate.Finance,Data access to ALL countries (financials),101,PlanningSpace Dataflow,Project LBY (PRMS),33,Allow,Allow,Allow,Allow,NULL
data.Corporate.key,Data access to ALL countries (full access),88,PlanningSpace Dataflow,Project LBY (PRMS),33,Allow,Allow,Allow,Allow,Allow
data.Libya,Data access to country Libya,63,PlanningSpace Dataflow,Project LBY (PRMS),33,Allow,NULL,Allow,NULL,NULL
data.Libya.Economics,Data access to country Libya (economist),94,PlanningSpace Dataflow,Project LBY (PRMS),33,Allow,Allow,Allow,Allow,NULL
data.Libya.Finance,Data access to country Libya (financials),100,PlanningSpace Dataflow,Project LBY (PRMS),33,Allow,Allow,Allow,Allow,NULL
data.Libya.key,Data access to country Libya (full access),64,PlanningSpace Dataflow,Project LBY (PRMS),33,Allow,Allow,Allow,Allow,Allow
data.Corporate,Data access to ALL countries,8,PlanningSpace Dataflow,Adjustment,34,Allow,NULL,NULL,NULL,NULL
data.Corporate.Economics,Data access to ALL countries (economist),95,PlanningSpace Dataflow,Adjustment,34,Allow,Allow,Allow,Allow,NULL
data.Corporate.Finance,Data access to ALL countries (financials),101,PlanningSpace Dataflow,Adjustment,34,Allow,Allow,Allow,Allow,NULL
data.Corporate.key,Data access to ALL countries (full access),88,PlanningSpace Dataflow,Adjustment,34,Allow,Allow,Allow,Allow,Allow
DataFlow.key,"Dataflow Key user ",21,PlanningSpace Dataflow,Adjustment,34,Allow,Allow,Allow,Allow,NULL
