Workgroup Name	Workgroup Description	Entity Type Application	Entity Name	Read	Create	Update	Delete	Assign
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Adjustment	Allow	NULL	Allow	NULL	NULL
data.Corporate.key	Data access to ALL countries (full access)	PlanningSpace Dataflow	Adjustment	Allow	Allow	Allow	Allow	Allow
DataFlow.key	Dataflow Key user 	PlanningSpace Dataflow	Adjustment	Allow	Allow	Allow	Allow	NULL
DataFlow.power	Dataflow Power user	PlanningSpace Dataflow	Adjustment	Allow	NULL	Allow	NULL	NULL
Economics.key	Economics key user 	PlanningSpace Dataflow	Adjustment	Allow	NULL	Allow	NULL	NULL
Economics.power	Economics power user	PlanningSpace Dataflow	Adjustment	Allow	NULL	Allow	NULL	NULL
Financials.key	Financials key user	PlanningSpace Dataflow	Adjustment	Allow	NULL	NULL	NULL	NULL
Financials.power	Financials power user HO	PlanningSpace Dataflow	Adjustment	Allow	NULL	Allow	NULL	NULL
OMV_CoreTeam	OMV Core Team Members	PlanningSpace Dataflow	Adjustment	Allow	Allow	Allow	Allow	Allow
P2V.admin	Plan2Value administrators	PlanningSpace Dataflow	Adjustment	Allow	Allow	Allow	Allow	Allow
User.admin	User for useradministration	PlanningSpace Dataflow	Adjustment	Allow	NULL	NULL	NULL	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Asset	Allow	NULL	NULL	NULL	NULL
DataFlow.key	Dataflow Key user 	PlanningSpace Dataflow	Asset	Allow	Allow	Allow	Allow	NULL
DataFlow.power	Dataflow Power user	PlanningSpace Dataflow	Asset	Allow	NULL	Allow	NULL	NULL
OMV_CoreTeam	OMV Core Team Members	PlanningSpace Dataflow	Asset	Allow	Allow	Allow	Allow	Allow
P2V.admin	Plan2Value administrators	PlanningSpace Dataflow	Asset	Allow	Allow	Allow	Allow	Allow
P2V.base	P2V base access	PlanningSpace Dataflow	Asset	Allow	NULL	NULL	NULL	NULL
User.admin	User for useradministration	PlanningSpace Dataflow	Asset	Allow	NULL	NULL	NULL	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Contract Area	Allow	NULL	NULL	NULL	NULL
DataFlow.key	Dataflow Key user 	PlanningSpace Dataflow	Contract Area	Allow	Allow	Allow	Allow	NULL
DataFlow.power	Dataflow Power user	PlanningSpace Dataflow	Contract Area	Allow	NULL	Allow	NULL	NULL
OMV_CoreTeam	OMV Core Team Members	PlanningSpace Dataflow	Contract Area	Allow	Allow	Allow	Allow	Allow
P2V.admin	Plan2Value administrators	PlanningSpace Dataflow	Contract Area	Allow	Allow	Allow	Allow	Allow
P2V.base	P2V base access	PlanningSpace Dataflow	Contract Area	Allow	NULL	NULL	NULL	NULL
User.admin	User for useradministration	PlanningSpace Dataflow	Contract Area	Allow	NULL	NULL	NULL	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Country	Allow	NULL	NULL	NULL	NULL
DataFlow.power	Dataflow Power user	PlanningSpace Dataflow	Country	Allow	NULL	Allow	NULL	NULL
OMV_CoreTeam	OMV Core Team Members	PlanningSpace Dataflow	Country	Allow	Allow	Allow	Allow	Allow
P2V.admin	Plan2Value administrators	PlanningSpace Dataflow	Country	Allow	Allow	Allow	Allow	Allow
User.admin	User for useradministration	PlanningSpace Dataflow	Country	Allow	NULL	NULL	NULL	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Legal Entity	Allow	NULL	NULL	NULL	NULL
DataFlow.key	Dataflow Key user 	PlanningSpace Dataflow	Legal Entity	Allow	Allow	Allow	Allow	NULL
DataFlow.power	Dataflow Power user	PlanningSpace Dataflow	Legal Entity	Allow	NULL	Allow	NULL	NULL
OMV_CoreTeam	OMV Core Team Members	PlanningSpace Dataflow	Legal Entity	Allow	Allow	Allow	Allow	Allow
P2V.admin	Plan2Value administrators	PlanningSpace Dataflow	Legal Entity	Allow	Allow	Allow	Allow	Allow
P2V.base	P2V base access	PlanningSpace Dataflow	Legal Entity	Allow	NULL	NULL	NULL	NULL
User.admin	User for useradministration	PlanningSpace Dataflow	Legal Entity	Allow	NULL	NULL	NULL	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Organization	Allow	NULL	NULL	NULL	NULL
DataFlow.power	Dataflow Power user	PlanningSpace Dataflow	Organization	Allow	NULL	Allow	NULL	NULL
Everyone	Default workgroup.	PlanningSpace Dataflow	Organization	Allow	NULL	NULL	NULL	NULL
P2V.admin	Plan2Value administrators	PlanningSpace Dataflow	Organization	Allow	Allow	Allow	Allow	Allow
data.ArabEmirates	Data access to country ArabEmirates	PlanningSpace Dataflow	Project ARE (PRMS)	Allow	NULL	Allow	NULL	NULL
data.ArabEmirates.key	Data access to country ArabEmirates (full access)	PlanningSpace Dataflow	Project ARE (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Project ARE (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Corporate.key	Data access to ALL countries (full access)	PlanningSpace Dataflow	Project ARE (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Australia	Data access to country Australia	PlanningSpace Dataflow	Project AUS (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Australia.key	Data access to country Australia (full access)	PlanningSpace Dataflow	Project AUS (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Project AUS (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Corporate.key	Data access to ALL countries (full access)	PlanningSpace Dataflow	Project AUS (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Austria	Data access to country Austria	PlanningSpace Dataflow	Project AUT (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Austria.Key	Data access to country Austria (full access)	PlanningSpace Dataflow	Project AUT (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Project AUT (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Corporate.key	Data access to ALL countries (full access)	PlanningSpace Dataflow	Project AUT (PRMS)	Allow	Allow	Allow	Allow	Allow
DataFlow.power	Dataflow Power user	PlanningSpace Dataflow	Project AUT (PRMS)	Allow	NULL	Allow	NULL	NULL
OMV_CoreTeam	OMV Core Team Members	PlanningSpace Dataflow	Project AUT (PRMS)	Allow	Allow	Allow	Allow	Allow
P2V.admin	Plan2Value administrators	PlanningSpace Dataflow	Project AUT (PRMS)	Allow	Allow	Allow	Allow	Allow
User.admin	User for useradministration	PlanningSpace Dataflow	Project AUT (PRMS)	Allow	NULL	NULL	NULL	Allow
data.Bulgaria	Data access to country Bulgaria	PlanningSpace Dataflow	Project BGR (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Bulgaria.key	Data access to country Bulgaria (full access)	PlanningSpace Dataflow	Project BGR (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Project BGR (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Corporate.key	Data access to ALL countries (full access)	PlanningSpace Dataflow	Project BGR (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Project GEO (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Corporate.key	Data access to ALL countries (full access)	PlanningSpace Dataflow	Project GEO (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Georgia	Data access to country Georgia	PlanningSpace Dataflow	Project GEO (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Georgia.key	Data access to country Georgia (full access)	PlanningSpace Dataflow	Project GEO (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Project KRI (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Corporate.key	Data access to ALL countries (full access)	PlanningSpace Dataflow	Project KRI (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Kurdistan	Data access to country Kurdistan	PlanningSpace Dataflow	Project KRI (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Kurdistan.key	Data access to country Kurdistan (full access)	PlanningSpace Dataflow	Project KRI (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Project LBY (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Corporate.key	Data access to ALL countries (full access)	PlanningSpace Dataflow	Project LBY (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Libya	Data access to country Libya	PlanningSpace Dataflow	Project LBY (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Libya.key	Data access to country Libya (full access)	PlanningSpace Dataflow	Project LBY (PRMS)	Allow	Allow	Allow	Allow	Allow
