profile,user,groups,type,lic
[DATA] - Austria,x,data.Austria,DATA,
[DATA] - Austria - ECO,x,data.Austria.Economics,DATA,
[DATA] - Austria - PP,x,data.Austria.key,DATA,
[DATA] - Corporate,x,data.Corporate,DATA,
[DATA] - Corporate - ECO,x,data.Corporate.Economics,DATA,
[DATA] - Corporate - PP,x,data.Corporate.key,DATA,
[DATA] - Libya,x,data.Libya,DATA,
[DATA] - Libya - ECO,x,data.Libya.Economics,DATA,
[DATA] - Libya - PP,x,data.Libya.key,DATA,
[DATA] - Norway,x,data.Norway,DATA,
[DATA] - Norway - ECO,x,data.Norway.Economics,DATA,
[DATA] - Norway - PP,x,data.Norway.key,DATA,
[DATA] - Russia,x,data.Russia,DATA,
[DATA] - Russia - ECO,x,data.Russia.Economics,DATA,
[DATA] - Russia - PP,x,data.Russia.key,DATA,
[DATA] - Tunisia,x,data.Tunisia,DATA,
[DATA] - Tunisia - ECO,x,data.Tunisia.Economics,DATA,
[DATA] - Tunisia - PP,x,data.Tunisia.key,DATA,
Economics.Headoffice,x,Economics.key,FUNC,
Economics.Headoffice,x,Economics.power,FUNC,
Economics.Headoffice,x,Economics.regimes,FUNC,
Economics.Headoffice,x,P2V.base,FUNC,
Economics.Headoffice,x,Portfolio,FUNC,
Economics.Headoffice,x,Reporting,FUNC,
Economics.Headoffice,x,Reserves.base,FUNC,
Economics.Headoffice,x,temp.adjust.admin,FUNC,
Economics.Headoffice,x,temp.adjust.eco,FUNC,
Economics.Headoffice,x,temp.adjust.ecoresults,FUNC,
Economics.Headoffice,x,temp.adjust.fin.readonly,FUNC,
Economics.Headoffice,x,temp.adjust.input,FUNC,
Economics.Headoffice,x,temp.admin,FUNC,
Economics.Headoffice,x,temp.economics,FUNC,
Economics.Headoffice,x,temp.ecoresults,FUNC,
Economics.Headoffice,x,temp.financials.readonly,FUNC,
Economics.Headoffice,x,temp.input,FUNC,
Finance.Headoffice,x,Financials.key,FUNC,
Finance.Headoffice,x,Financials.power,FUNC,
Finance.Regimes,x,Financials.regimes,FUNC,
Finance.Headoffice,x,P2V.base,FUNC,
Finance.Headoffice,x,Portfolio,FUNC,
Finance.Headoffice,x,Reporting,FUNC,
Finance.Headoffice,x,temp.adjust.admin.readonly,FUNC,
Finance.Headoffice,x,temp.adjust.eco,FUNC,
Finance.Headoffice,x,temp.adjust.ecoresults,FUNC,
Finance.Headoffice,x,temp.adjust.fin,FUNC,
Finance.Headoffice,x,temp.adjust.input,FUNC,
Finance.Headoffice,x,temp.admin.readonly,FUNC,
Finance.Headoffice,x,temp.economics.readonly,FUNC,
Finance.Headoffice,x,temp.ecoresults.readonly,FUNC,
Finance.Headoffice,x,temp.financials,FUNC,
Finance.Headoffice,x,temp.input,FUNC,
Light User.Headoffice,x,P2V.base,FUNC,
Light User.Headoffice,x,Reporting,FUNC,
Light User.Headoffice,x,temp.adjust.admin.readonly,FUNC,
Light User.Headoffice,x,temp.adjust.eco.readonly,FUNC,
Light User.Headoffice,x,temp.adjust.ecoresults.readonly,FUNC,
Light User.Headoffice,x,temp.adjust.fin.readonly,FUNC,
Light User.Headoffice,x,temp.adjust.input.readonly,FUNC,
Light User.Headoffice,x,temp.admin.readonly,FUNC,
Light User.Headoffice,x,temp.economics.readonly,FUNC,
Light User.Headoffice,x,temp.ecoresults.readonly,FUNC,
Light User.Headoffice,x,temp.financials.readonly,FUNC,
