Id,Name,Description,Comments
,data.ArabEmirates,Data access to country UnitedArabEmirates,[DATA] PRMS read-update
,data.ArabEmirates.Economics,Data access to country UnitedArabEmirates (economist),[DATA] PRMS create-read-update-delete 
,data.ArabEmirates.Finance,Data access to country UnitedArabEmirates (financials),[DATA] PRMS create-read-update-delete 
,data.ArabEmirates.key,Data access to country UnitedArabEmirates (full access),[DATA] PRMS full access
,data.ArabEmirates.Portfolio,Data access to country UnitedArabEmirates (Portfolio),
,data.ArabEmirates.Reserves,Data access to country UnitedArabEmirates (Reserves),[DATA] PRMS create-read-update-delete 
,data.Australia,Data access to country Australia,[DATA] PRMS read-update
,data.Australia.Economics,Data access to country Australia (economist),[DATA] PRMS create-read-update-delete 
,data.Australia.Finance,Data access to country Australia (financials),[DATA] PRMS create-read-update-delete 
,data.Australia.key,Data access to country Australia (full access),[DATA] PRMS full access
,data.Australia.Portfolio,Data access to country Australia (Portfolio),
,data.Australia.Reserves,Data access to country Australia (Reserves),[DATA] PRMS create-read-update-delete 
,data.Austria,Data access to country Austria,[DATA] PRMS read-update
,data.Austria.Economics,Data access to country Austria (economist),[DATA] PRMS create-read-update-delete 
,data.Austria.Finance,Data access to country Austria (financials),[DATA] PRMS create-read-update-delete 
,data.Austria.Key,Data access to country Austria (full access),[DATA] PRMS full access
,data.Austria.Portfolio,Data access to country Austria (Portfolio),
,data.Austria.Reserves,Data access to country Austria (Reserves),[DATA] PRMS create-read-update-delete 
,data.BD.project,Business Development project ,Business Development power user HO
,data.Bulgaria,Data access to country Bulgaria,[DATA] PRMS read-update
,data.Bulgaria.Economics,Data access to country Bulgaria (economist),[DATA] PRMS create-read-update-delete 
,data.Bulgaria.Finance,Data access to country Bulgaria (financials),[DATA] PRMS create-read-update-delete 
,data.Bulgaria.key,Data access to country Bulgaria (full access),[DATA] PRMS full access
,data.Bulgaria.Portfolio,Data access to country Bulgaria (Portfolio),
,data.Bulgaria.Reserves,Data access to country Bulgaria (Reserves),[DATA] PRMS create-read-update-delete 
,data.Corporate,Data access to ALL countries,[DATA] PRMS read-update
,data.Corporate.Economics,Data access to ALL countries (economist),[DATA] PRMS create-read-update-delete 
,data.Corporate.Exploration,Data access to ALL countries (Exploration),[DATA] PRMS create-read-update
,data.Corporate.Finance,Data access to ALL countries (financials),[DATA] PRMS create-read-update-delete 
,data.Corporate.key,Data access to ALL countries (full access),[DATA] PRMS full access
,data.Corporate.Portfolio,Data access to ALL countries (Portfolio) - used by Portfolio to load marked resultsets,
,data.Corporate.Reserves,Data access to ALL countries (Reserves) - used by Reserves to load marked resultsets,[DATA] PRMS create-read-update-delete 
,data.Everyone.Economics,combining all data.country.Economics,combining all data.country.Economics
,data.Georgia,Data access to country Georgia,[DATA] PRMS read-update
,data.Georgia.Economics,Data access to country Georgia (economist),[DATA] PRMS create-read-update-delete 
,data.Georgia.Finance,Data access to country Georgia (financials),[DATA] PRMS create-read-update-delete 
,data.Georgia.key,Data access to country Georgia (full access),[DATA] PRMS full access
,data.Georgia.Portfolio,Data access to country Georgia (Portfolio),
,data.Georgia.Reserves,Data access to country Georgia (Reserves),[DATA] PRMS create-read-update-delete 
,data.Kurdistan,Data access to country Kurdistan,[DATA] PRMS read-update
,data.Kurdistan.Economics,Data access to country Kurdistan (economist),[DATA] PRMS create-read-update-delete 
,data.Kurdistan.Finance,Data access to country Kurdistan (financials),[DATA] PRMS create-read-update-delete 
,data.Kurdistan.key,Data access to country Kurdistan (full access),[DATA] PRMS full access
,data.Kurdistan.Portfolio,Data access to country Kurdistan (Portfolio),
,data.Kurdistan.Reserves,Data access to country Kurdistan (Reserves),[DATA] PRMS create-read-update-delete 
,data.Libya,Data access to country Libya,[DATA] PRMS read-update
