Id,Name,Description,Comments
,profile.Admin.Developer,Developer P2V Administrator access,
,profile.Admin.Headoffice,Headoffice P2V Administrator access,
,profile.Economics.Headoffice,OMV Corporate Economists role,
,profile.Economics.local,Branch Office economists role,
,profile.Finance.Headoffice,OMV Corporate controller role,
,profile.Finance.local,Branch Office controller role,
,profile.Finance.Regimes,profile.Finance.Regimes,
,profile.LightUser.Headoffice,OMV Corporate readonly access (light user),
,profile.LightUser.local,Branch Office readonly access (light user),
,profile.PetroVR,PetroVR user access,
,profile.PP.Headoffice,OMV Corporate Planning & Portfolio role (standard user),
,profile.PP.Headoffice.Power,OMV Corporate Planning & Portfolio role (power user),
,profile.PP.local,Branch Office Planning & Portfolio role,
,profile.Projectmanager,P2V Projectmanager role (data entry),
,profile.Reserves.Headoffice,OMV Corporate reserves role (standard user),
,profile.Reserves.Headoffice.Approve,special approval role for Headoffice RESERVES ,
,profile.Reserves.Headoffice.Power,OMV Corporate reserves role (power user),
,profile.Reserves.local.Approve,special approval role for branch offices RESERVES ,
,profile.Reserves.local.QRE,Branch office QRE role,
,profile.Reserves.readonly,Reserves readonly role,
,profile.Resources.Headoffice,OMV Corporate Exporation user (ressource access),
,profile.Resources.local,Branch office Exporation user (ressource access),
,profile.Student.local,Students profile (training purposes),
,profile.Portfolio.Light,Portfolio user (readonly access),
,profile.Portfolio.Power,Portfolio user (power access),
,profile.Projectmanager.RO,Profile for RO projectmanagers - (different tags),
,Input.Confirm.RO.PM,specific group for RO-Projectmanagers tag-access,
